Service Description,Service Classification
"The Statistical Institute of Catalonia (Idescat) is an organization that produces official Catalan economy, demography, and society statistics. Idescat exposes some of its data via a collection of REST APIs. The Idescat Onomastics API provides statistical data for names and surnames in Catalonia. API responses may be XML, JSON, PHP, or TXT format.",Government
"OpenFEMA is an authoritative source for FEMA's public data, which has been released as part of the Open Government Initiative. The OpenFEMA API provides the public with free, read-only access to FEMA datasets that include information on public assistance funded projects, public assistance applicants, hazard mitigation grants, and disaster declarations. The API can also be used to retrieve its own documentation and a listing of the available datasets.",Government
"The UK Police and Street Level Crime API returns aggregated crime statistics about areas served by all police forces in England and Wales. All provide accurate, up-to-date data by neighborhood and even block by block. API methods support retrieval of statistics for the local police force such as identifier, web URL, and contact methods. Methods also return crime statistics by location, neighborhood and street, and by category of crime.",Government
"ICANE, the Statistical Office of Cantabria (a region in the north of Spain) publishes the Statistical Data and Metadata API of Cantabria. Currently, the API provides access to all data and metadata of all statistical series included in its database. A date of preparation of this aid, the approximate number of series is: regional data: 2187 Historical Data: 254 municipal data: 265 The API consists of two modules, one for metadata and one for data.",Government
"DigitalGov Search (formerly USASearch) is a program of General Services Administration's Office of Citizen Services and Information Technology (OCSIT) to improve access to government information. DigitalGov Search's Product Recall Data API returns data on product safety and recalls for food, cars, and other products. Data include descriptions of recalled products, defect summaries, manufacturer information, recall dates, and more. The Product Recall Data API uses HTTP protocol and returns responses in JSON. An API key is required.",Government
"Code for America is a non-partisan organization dedicated to helping government agencies use the internet to promote openness, efficiency, and citizen participation. The NAICS (North American Industry Classification System) classifies businesses by type and is maintained by the U.S. Bureau of Labor Statistics. Code for America's NAICS API is designed to help make the NAICS's classification system machine-readable and easier to search. This will allow apps that need to understand or collect information about businesses to do so in a way that is compatible with the U.S. government's framework.",Government
"The Federal Infrastructures Project Dashboard is a government-project transparency app. It allows interested parties to view the development of ongoing high priority projects across America. Users can view projects in diversity of categories, such as: Green Infrastructure, Transmission, Transportation, and more. A suite of APIs exposes data access functionality, allowing developers to grab information about the projects, their permits, actions, sectors, and much more. They are RESTful APIs that return XML and JSON responses.",Government
"The United Nations Statistical Data and Metadata Exchange offers a repository of data about international trade devoted to encouraging information sharing and trade among UN member countries and business organizations worldwide. The initiative is aimed at improving efficiency of processes for exchanging information to track commerce and support financial decision-making. Data sets available depending on access rights, but may include Comtrade data summarizing international transactions by country, industry classification, and year. Also available are data about tariffs and total international trade. Data can also be retrieved directly into a SQL Server database.",Government
"The Sunlight Foundation is a non-partisan, non-profit group that uses technology to make the U.S. government more transparent and accountable. Open States provides public access to information on state-level politics for every state in the U.S. It helps users find their legislators, review their votes, search upcoming legislation, and track bill progress. This data can be accessed directly through the website or programmatically via REST API.",Government
"OffeneDaten is an open government data portal for Germany. Powered by CKAN, the Comprehensive Knowledge Archive Network, Data groups include Data Catalog of Federal Ministry for Education and Research; GENESIS database of the Federal Statistical Office; Data Catalog Berlin; Data Catalog Bremen; MOGDy Munich. OffeneDaten datasets include: elections; waste disposal; employment; air quality; GDP; education; public budgets; and more. The CKAN API provides access to this data. The API is RESTful and returns responses in JSON and JSONP.",Government
"OpenColorado is working to make public data available and accessible to the citizens of Colorado from cities, counties, school districts, and special districts across the state. The OpenColorado Data Catalog and the catalog API provide access to a wealth of government data becoming available from participating jurisdictions.",Government
"The Open New York Daily Traffic on Metropolitan Transportation Authority (MTA) Bridges and Tunnels API is an open service of the State of New York's data.ny.gov open data initiative. The API provides access to a catalogue of data on the vehicles that pass through all 9 bridges operated by the MTA each day. Cars, buses, trucks and motorcycles are accounted for, and the dataset includes field types that such as date, bridge name, number of vehicles that paid in cash per bridge, and total vehicles per bridge. The dataset is updated on a weekly basis, and can be accessed through HTTP communication with available response types in JSON, XML, and CSV. The documentation features a live testing interface to run example requests. All requests must posses an app token in order to be authenticated.",Government
"Nantes open data is the government data portal for the city of Nantes, France. Available data includes: schedules and routes of local transit; real-time parking lot availability; real-time traffic; hours of local cultural facilities; lists of public facilities (by theme); environmental data; names of children born in Nantes (by year); and more. A RESTful API is available to access much of this data. Responses are returned in XML and JSON. The site and documentation are in French.",Government
"This set contains the full-text digitized proceedings of Dutch Parliament from 1814 until 1995. This means it holds word by word transcriptions of everything that has been said in the House of Representatives and the Senate during those years. The data can be reused freely as open data: both the metadata and the individual objects (page scans, OCR, PDFs) are available under a CC0-license. Access via SRU and OAI-PMH protocols. The set is made available by the National Library of the Netherlands (KB), in collaboration The House of Representatives of the Netherlands (Tweede Kamer der Staten-Generaal) The documentation is currently in Dutch only, but will be available in English a.s.a.p.",Government
"openparliament.ca is an independent, non-governmental website aimed at making Canadian government more easily accessible. The site provides information about what is being discussed/debated in the House of Commons, recent bills and votes, and other news in and about Parliament. A RESTful API is available for accessing Hansards of the House. Responses are returned in JSON or XML format.",Government
The Polling Place API allows developers to create applications that can look up the nearest polling places based on an individual's street address and zip code. It is offered by Democrats.org through their Open.Dems project: Opening up the Party to innovation while sharing our technology and ideas.,Government
"ABN (Australian Business Number) Lookup. An XML interface to the ABN Lookup is available to registered users. Using this facility, you can integrate ABN lookups into your own applications. ABN Lookup provides access to the publicly available information provided by businesses when they register for an Australian Business Number.",Government
"A tool for the public and journalists to find out about US government spending. The data is largely from two sources: the Federal Procurement Data System, which contains information about federal contracts and the Federal Assistance Award Data System, which contains information about federal financial assistance such as grants, loans, insurance, and direct subsidies like Social Security",Government
"Socrata is an online community for producers, publishers, and consumers of data. Through a suite of innovative Web services, Socrata provides the world's most comprehensive platform for open data discovery. Socrata APIs are sets of REST resources you can use to manage Socrata entities and data. Resources are grouped by areas of related high-level functionality.",Government
"The HealthData.gov is a service of the U.S. government and provides data about health, medicine and related topics (including Medicaid). The HealthData API is used to provide software developers with programmatic access to the contents of the data catalog. The API can be used to find recently added datasets, to search the catalog, to download the contents of the catalog for analysis, or to build a new data catalog tool.",Government
"opengov.fi provides open government data for Finland. The site works closely with suomi.fi, the Finnish government services portal, for formal data cataloging purposes. Available datasets include environmental and spatial services information; transportation; events; maps; and more. opengov.fi is powered by CKAN (Comprehensive Knowledge Archive Network) and data is accessible through the RESTful CKAN API.",Government
"The FED {API} collects, correlates, and cataloges information from government sites and agencies to provide relevant data to users. The site source data from open government agencies, and refines it with tags and categories to make it easily searchable, and a resource for application development and analytics. The service uses REST calls and returns JSON. An account and an API key are required for use.",Government
"Find Your MP is a service of the United Kingdom Parliament website. Members of Parliament (MPs) can be searched on membership of political party, gender or constituent parts of the UK (England, Scotland, Wales and Northern Ireland). The API is RESTful and returns responses in XML, JSON, JavaScript, TEXT, CSV, or YAML.",Government
"The Local Government Association API is a tool that allows users to view and download open data about local areas (such as demographic details and performance data). The LGA API can help developers of any knowledge level to provide services such as: enriching apps with data about local places and people, creating community dashboards for local councils, powering GIS tools with neighbourhoods and geographies in the UK, and more.",Government
The U.S. Department of Housing and Urban Development (HUD) exposes information on certain HUD related agencies and businesses through a RESTful API. The API allows developers to programmatically search for information describing both Housing Counseling Agencies and Section 3 Businesses. This freely accessible API returns JSON formatted responses.,Government
"Baltimore Open311 allows developers to create third-party apps that citizens can use to report public neighborhood issues, such as potholes, graffiti and more, to Baltimore's 311 reporting service. The Open311 API is RESTful, and returns responses in XML and JSON.",Government
"Services to retrieve Oakland Police Dept. report data by OPD beat, lagged one week. Crime report data is summarized by the week, SundaySaturday. Starting date represents the first instance of a report for the week within that beat.",Government
"The UK Government Gateway HMRC Individual Employment API retrieves an individual's employment information from a tax year, according to the data they have reported to an employer through the PAYE process. Available in JSON and XML formats with token. HMRC is responsible for the administration and collection of taxes in the UK.",Government
"The Veterans Affairs Facilities API is a Veterans Affairs (VA) service capable of programmatically delivering summary information about VA facilities. The SOAP web service is capable of searching for facilities by state, region, or facility ID, and returns structured data including facility ID, name, type, region, and state.",Government
"King County Open Data is an online portal to data for King County, Washington. Datasets are available for topics including elections, restaurant inspections, taxes, animal licensing, and more. King County Open Data uses the Socrata Open Data API, which uses REST and returns responses in a variety of formats including JSON, XML, and RDF.",Government
"We the People is a platform on the White House website that allows users to create and sign petitions on any number of issues. Petitions that recieve more that 150 signatures get reviewed by the White House staff and are responded to. The platform has supported over 8 million users, more than 200,000 petitions and more than 13 million signatures. The API provides users with GET HTTP access to data on all petitions that have gathered enough support to have received a response and become publicly-available on the We the People site. The platform recently updated the API by adding a POST component that now allows developers to gather signatures from independent systems and submit them to petitions. Write-API requests require an API key for use.",Government
"Transparency Data is a resource for federal lobbyist registrations and federal and state campaign contributions. See what a candidate has received, what an individual has given, how much an organization has spent on lobbying, and many other queries. The Transparency Data API gives developers access to search state and federal campaign contribution data. The API features a RESTful interface and returns data via JSON or CSV.",Government
"The SI-TSA (Slovenian Time Stamping Authority), an issuing authority for time stamps, is part of the infrastructure of the Certification Authority at the Slovenian Ministry of Public Administration. The SI-TSA issues trusted time stamps intended for use by public administration institutions. In the future, they will also be available to businesses and other end users. The SI-TSA Timestamp API can be accessed using SOAP calls issued in XML format. The SI-TSA website and the API documentation are provided in both Slovenian and English.",Government
"The service provides online verification of a driver's automobile insurance coverage, as mandated by Oklahoma state law. Any privately owned vehicle registered in the state is subject to compulsory vehicle liability insurance. The service allows law enforcement personnel and others with a legitimate interest to confirm that a vehicle has adequate coverage in effect, and it allows insurance companies to upload information about their policies in effect. API methods support checks against the OCVIM database to verify insurance coverage by submitting a vehicle identification number (VIN). Methods also support updating the state database by submitting a VIN and associated policy number along with coverage expiration date.",Government
"The City of Toronto 311 system is customer service for the City of Toronto government. Toronto 311 allows citizens to call and report a pothole, order a new garbage bin, learn about programs at local community centers, and more. Online access is also available and an API allows further access to these services. More information can be found by emailing open311@toronto.ca Full documentation is not available but users can visit http://open311.org/learn/ to view the open311 specification as it is used in other cities.",Government
The Sunlight Congress API is shutting down on Sept. 30. Please us the ProPublica Congress API as a replacement for the Sunlight API.,Government
A simple tool for a simple task. Here you can look up your representation in the U.S. government. Simply enter your zip code or zip+4 (for better results) and information on your representation in Congress will be returned.,Government
California State Dept of FinanceDemographic Data on California Race / Ethnic Population. Projections are available by county and year covering the years 2000-2050. Note: this data set is provided by the State of California and is API enabled via Google Fusion Tables API and Google Visulation API. For more info see: /api/google-fusion-tables,Government
"ForeignAssistance.gov provides information on U.S. foreign aid through the Foreign Assistance Dashboard, a joint initiative of the Department of State and the U.S. Agency for International Development. The ForeignAssistance.gov API provides a RESTful interface to the dashboard, allowing developers to filter data by type, format, country, sector, agency, and fiscal year in multiple ways.",Government
"RealSearch is the nation's largest online portal for Investigative data with information from over 40 databases. TIN Reverse offers instant access to almost 300 million Tax IDs including EINs ( Employer Identification Numbers ) and Individual Tax Ids ( SSN ). Users pass a 9 digit number and last name, and the API will return verification information. Full documentation is not currently available.",Government
"Iowa makes its Sex Offender Registry available online so that members of the public can better protect themselves from sex offenders. Users can search the registry for offenders by name, gender, city, county, state, age, height, weight, Most Wanted status, location, and profile update date. This information is made available programmatically via REST API. A JavaScript version of the API is currently in beta.",Government
"The free service from the U.S. Environmental Protection Agency (EPA) establishes a qualified product exchange (QPX) system to accept requests for EnergyStar certification and facilitate processing of those requests by certification bodies (CBs). The service augments prior systems, which were based on submission of spreadsheets listing all currently certified products. It handles XML submissions for individual products, including capabilities to modify certification requests after submission. API methods support submission of EnergyStar certification requests for products like boilers, air conditioners and heat pumps, dehumidifiers, commercial fryers and griddles, and electronic equipment. Methods also support modifying, withdrawing, and re-submitting existing certifications.",Government
"National Priorities Project is a national non-partisan research organization that aims to make the federal budget information transparent and accessible so people can prioritize and influence how their tax dollars are spent. The National Priorities API allows users to make REST calls to access national, and regional data within multiple government data categories. No account is required with services.",Government
"We're a progressive nonprofit whose core activity is providing e-advocacy tools to other progressive nonprofits for pennies on the dollar relative to the fees demanded by the private sector. In our capacity as service provider, we offer cutting-edge communication tools enabling our user organizations to do everything from sending mass e-mail blasts to taking donations online. The Democracy In Action HTML API allows advanced users of the DIA tools to build custom, off-site interfaces to the data stored in their DIA account. It accomplishes this through specially formatted HTML form elements, submitted via HTTP POST to a processor script on the DIA servers, which can write to the database or retrieve information from it. At this time the main supported functionality is for writing data (as for instance a new supporter sign up, or a donation) to the DB.",Government
"The BusinessUSA Data API allows users to access data asset information provided by BusinessUSA for current or prospective business owners. The BusinessUSA Data API uses a resource URL request and provides return response in CSV, XML, and JSON. Authentication is completed through a unique, private API Key. BusinessUSA is an official United States Government website that provides a platform, in conjunction with multiple government agencies, for the dissemination of government data. Information garnered from BusinessUSA is intended for public use. BusinessUSA conforms with the Open Data Policy, supporting the dissemination of data from federal",Government
"The Automated Information Mapping System (AIMS) is provided by Johnson County, Kansas. It can be used by individuals, government organizations or businesses looking for a GIS solution. AIMS offers services including map production, custom enterprise-level application development, and data development. The Address Web Service allows developers to search, validate and geocode against the Johnson County master address database. If a user finds an address, they can also lookup the tax property ID and its tax unit. Methods are including to give users all the valid cities, zip codes, street types, street directions, unit designators, and street names used in the county. The API uses SOAP protocol and responses are formatted in XML.",Government
Where Does My Money Go is a UK-based open government site from the Open Knowledge Foundation. It aims to make government finances much easier to explore and understand. The Where Does My Money Go API provides access to the site's datasets via its REST-based JSON API.,Government
"The UK National Archives is the government's national archive for England, Wales, and the United Kingdom. Holding over 11 million historical government and public records, the Archives provides an online Catalogue, containing searchable descriptions of these records and documents. The Discovery service is based on the Catalogue and will soon replace the search functions of the Catalogue. Discovery service includes an API for RESTful queries, returning responses in XML.",Government
"DigitalGov Search (formerly USASearch) is a program of General Services Administration's Office of Citizen Services and Information Technology (OCSIT) to improve access to government information. DigitalGov Search's Search Data API returns data allowing DigitalGov Search agency customers to control the look and feel of their search results pages. Data include sections for search results, summary stats, boosted sites, spelling suggestions, and related searches, among other data. Must be affiliated with a government agency to use this API and registration is required.",Government
"The service extracts language daily from the Congressional Record, which reports the full text of deliberations in the U.S. House of Representatives and Senate. Applications can query those search terms to receive mentions, by title and speaker, from 1996 forward. Methods support retrieval of statements in Congress by date, phrase, or free-text match. Retrieval can also specify which chamber of Congress, the speaker's state and/or party affiliation, or the name of a speaker to select for biographical data.",Government
"The service provides for compliance with requirements of the U.K. government for reporting of commercial fishing activities, both amounts and species of fish caught and sales completed. Vessel owners and operators of commercial fishing businesses use the service to report their catch and sales information. Other sellers and resellers as well as buyers can use the service to fulfill their own reporting requirements. API methods support listing of ports, fishing grounds and regions, and species tracked. Methods also support submission of catch size and composition, by species, size, freshness, and other characteristics. Sales reporting methods allow reporting of transaction information, including buyer and seller, date, species, amount, etc.",Government
"The web service from the U.S. International Trade Commission provides access to documents held by the commission in relation to any investigations of exports and imports crossing the U.S. border. The service also supports online submissions of customers documentation. The information retrieved helps with tracking and reviewing customs activities. API methods return a list of investigations, information about a specific investigation, and metadata about submitted documents.",Government
This experimental API allows developers to access data about Brazilian election candidates using REST web services instead of through a web interface. It appears to be provided by an independent developer who harvests the data from the government elections division.,Government
"CitySourced is a real time mobile civic engagement tool. CitySourced provides 1) a free, simple, and intuitive tool empowering citizens to identify civic issues graffiti, trash, potholes etc.) and report them to city hall for quick resolution; 2) an opportunity for government to use technology to save money and be more accountable to those they govern; and 3) a positive, collaborative platform for real civic action. The platform is called CitySourced, as it empowers ordinary citizens to crowd source solutions for common civic issues. CitySourced is powered by FreedomSpeaks and it's APIs.",Government
"Listings for over 400 social service providers in Alameda County (Oakland), California. This dataset was collated and quality checked over several months in 2010 and is a very comprehensive listing of social service providers in our county with rich details including service eligibility, opening hours, accessibility and more. API returns service organizations in specified categories. Service provider locations may contain duplicates since most locations provide multiple services across several categories.",Government
"Money in state politics plays a pivotal role in shaping public policy in individual states and across the nation. The nonpartisan Institute on Money in State Politics tracks contributions in all 50 states and makes this data easily searchable online iThe Institute collects campaign-finance data for state-level candidates, party committees and ballot-measure committees in all 50 states. Each two-year election cycle, data-acquisition specialists compile more than 90,000 disclosure reports from more than 16,000 candidates in the states and process more than 3.2 million records of contribution information.",Government
"Open Knesset is an open source project developed by a community of volunteers and born out of the Public Knowledge Workshop, a non-profit Israeli organization aiming to make government information easily accessible to the public. Open Knesset mines data from the Knesset website and presents it in user-friendly, browser agnostic formats. The Open Knesset User Voting API provides developer access to Members of Knesset (MKs) voting data, as well as allowing applications to post user votes in support or opposition to approved, ongoing, or dismissed bills. Individual and aggregate user voting data may then be contrasted with MK voting data. Among the supported queries is a call calculating the correlation between the voting of each MK and that of a specified user.",Government
"The service operates independently of the city of San Francisco, Calif., and San Francisco Police Department, but it repackages data from the city's own crime-mapping program, CrimeWatch. It emphasizes location-aware mapping of crime reports by date, type of offense, police precinct, and related details. Its goal is to aid in discovery of crime activity within the areas of specific homes, schools, and workplaces. API methods allow retrieval of crime reports for specified crime types, police beats, and date ranges. Methods return reports with location information street address as well as latitude and longitude to aid in mapping.",Government
"Berlin.de is the online portal to the city of Berlin, Germany. The site offers information and news for government, arts and entertainment, tourism, economy, traffic, weather, and more. Berlin Open Data (daten.berlin.de) is the data portal for the records of the Berlin public administration. Available records include: labor market; education; geography and urban planning; sports and recreation; elections; economy; and more. A single, RESTful API is available to access data from both. Responses are formatted in XML, JSON, CSV, KML, and more.",Government
"The Federal Reserve Bank of St. Louis is one of 12 regional Reserve banks in the Fed System. The Research Division of the bank looks to promote quality economic research and contribute to economic policy discussions. In support of this goal, it has created APIs that let developers access the data stored on its web site. The FRED API lets users query the Federal Reserve Economic Data (FRED) and Archival Federal Reserve Economic Data (ALFRED) databases to retrieve specific data. The requested data can be customized according to data source, release, category, series, and other preferences. The API uses RESTful calls and responses are formatted in XML.",Government
"The National Archives publishes all UK legislation, and its Legislation API provides consolidated UK legislation, with a few limitations, in a variety of formats for people to reuse. Identifier searches enable you to work out the correct identifier to use for an item or section of legislation. Listings enable you to find multiple items of legislation and information about them.",Government
"The UIDAI's mandate is to issue every resident a unique identification number linked to the resident's demographic and biometric information, which they can use to identify themselves anywhere in India, and to access a host of benefits and service. The UIDAI proposes to provide online authentication using demographic and biometric data. The API provides authentication services to residents making requests for government agency services. It uses RESTful calls and responses are formatted in XML.",Government
"Black Book Online is a public record search site featuring over 25,000 current and verified links to free U.S. public records. Black Book Online provides an API that can be used to add property, criminal, civil, corporate, and sex offender record lookups to a website or application. The API is free, but users are required to include a link back to Black Book Online.",Government
"GovTribe provides government contracting information, in real time, to your mobile device. Users can track projects, competitors, agencies, and contracting officers. The GovTribe API (currently in beta), provides the U.S. federal government contracting market data in JSON. The API mines data from multiple government sources and can organize and index this data for user needs. The API provides eight entity types along with information about the way they are connected. The types are: Project, Agency, Office, Person, Vendor, Category, Protest, and Activity.",Government
"The Sunlight Foundation is a non-partisan, non-profit group that uses technology to make the U.S. government more transparent and accountable. Capitol Words is a tool for determining the frequency with which a given word is used in Congressional sessions over time. It provides relative frequency charts as well as the specific contexts in which the word was used. This provides a quick glimpse into what issues Congress is addressing on a daily, weekly, monthly, and yearly basis. The transcripts referenced by Capitol Words come from the website of the Government Printing Office and cover Congressional sessions from 1996 to the present.",Government
"The Statistical Institute of Catalonia (Idescat) is an organization that produces official Catalan economy, demography, and society statistics. Idescat exposes some of its data via a collection of REST APIs. Some content from Idescat.cat may be embedded in third party websites. The Idescat Embed API shows whether embeddable content exists on a specified page and how to obtain its embeddable code. This API follows the oEmbed standard for requests and responses. Responses may be XML or JSON formatted.",Government
"The U.S. Energy Information Administration provides developer access to their data with the goal of encouraging the creation of value-added services through the private, non-profit, and public sectors. The API uses RESTful architecture and returns JSON formatted data.",Government
"The Google Civic Information API allows developers to access civic information including polling place, early vote location, candidate data, and election official information for use in third party applications. The API data available currently focuses on election related information. The API uses RESTful calls and responses are formatted in JSON.",Government
"Sansad provides the latest data from the Parliament of India. The aim of this application is to offer targeted information to empower users. It is available through an HTTP GET call. With this API, users can have access to legislator's attendance record by constituency, questions asked by a legislator in the Parliament, status and summary of a bill, and bills based on any particular topic such as education.",Government
"The Open State Project API, provided by Sunlight Labs (part of the Sunlight Foundation), is part of the Sunlight Labs community of open source developers and designers dedicated to opening up our government to make it more transparent, accountable and responsible. The Open State Project API is a RESTful API for accessing state legislative information in a JSON format.",Government
"The Open New York Transit Subway Entrance And Exit Data API is a service part of the State of New York's data.ny.gov open data initiative. This API provides access to a dataset including varying information fields pertaining to subway station entrances and exits. Accessible information includes the corresponding station name, division, line, and exact longitude and latitude coordinates for these subway terminals. The dataset is also filterable using any of these variables. The API can be accessed through HTTP communication, and available response types include JSON, XML, and CSV. The documentation features a live testing interface to run example requests. All requests must posses an app token in order to be authenticated.",Government
"The UK Government Gateway HMRC Individual Income API retrieves income information about an individual. It is available in JSON formats with HTTP requests. With the API, developers can integrate a person's income from employments, pensions, and state benefits as reported to HMRC. HMRC is responsible for the administration and collection of taxes in the UK.",Government
"OpenDataPhilly is the online portal to the city of Philadelphia. Datasets are available for categories such as Arts/Culture/History, Elections/Politics, Parks, Public Safety, Transportation, and more. APIs are available for a number of datasets; select desired data and sort by the API filter for more information.",Government
"The USA.gov Social Media Registry is an official source for finding social media accounts for federal government agencies, elected officials and other appointed officials. The registry does not include state or local officials. The Social Media Registry API allows users to access account data from the Registry using RESTful GET calls with various parameters.",Government
"The UK Government Gateway HMRC Individual Tax API retrieves an individual's tax information. Available in JSON formats with token as the authentication method. With the API, developers can integrate tax deductions from gross income, pensions, and benefits. HMRC is responsible for the administration and collection of taxes in the UK.",Government
"The City of Helsinki in Finland provides the Issue Reporting API to let people send service requests to the city government regarding things like broken street signs and potholes. These issues are typically handled by the Public Works Department. In the future, other issues for other departments will be included as well. The API's specific functions include providing information on possible service requests, submitting service requests, and checking the descriptions and statuses of previously submitted service requests.",Government
"Openly Local is a project to develop an open and unified way of accessing Local Government information in the UK. Openly Local uses a REST based API that allows users to access information such as a list of local authorities, list of council members and forthcoming meetings. Data can be be returned as XML, JSON or RDFa.",Government
"The City of Nanaimo website is a portal to the city government. Information and services for residents, businesses, and visitors are available through the website, as well as access to municipal hall and city government departments. In addition, a data catalogue is available which includes datasets and information for such topics as bid opportunities, business licenses, job postings, parks, public notices, and more. A RESTful API is allows public access to datasets, returning responses in JSON, JSONP, KML",Government
"The Voting Information Project (VIP) offers technology tools to provide voters with access to customized election information to help them navigate the voting process and cast an informed vote. VIP works with election officials across the nation to ensure this information is official and reliable. VIP uses an open format with which state election divisions can publish their voting information and make it accessible. The API provides information on polling places, candidates, deadlines, rules and regulations and more. it uses RESTful calls and responses are formatted in XML and JSON.",Government
"Home Energy Saver (HES) is a service of the US Department of Energy, developed by Lawrence Berkeley National Laboratory (LBNL), that provides recommendations to homeowners for upgrading and improving their energy consumption. LBNL created a suite of APIs for HES that may be licensed. A 60-day, non-renewable license is available. The APIs use the SOAP protocol.",Government
"Sunlight Labs provides a RESTful API for viewing near real-time data from the current congress and archived data from the previous congress (data stored in MongoDB, for archived congress information, see GovTrack.us or the NYT Congress API). The Real Time Congress API contains no original data; all data is taken automatically from other sources. This is version 1 of the API. New data and methods may be added to it without notification, but no data will be removed, and no backwards-incompatible changes will be made without seeking community input, or advancing to a version 2.",Government
"BusinessUSA Keyword Search API provides keyword search access to business.usa.gov database entries. This API allows the user to perform multiple content search within a specific subject. The BusinessUSA Keyword Search API uses a resource URL request and provides a return types in CSV, XML, and JSON. Authentication is completed through a unique, private API Key. BusinessUSA is an official United States Government website that provides a platform, in conjunction with multiple government agencies, for the dissemination of government data. Information garnered from BusinessUSA is intended for public use. BusinessUSA conforms with the Open Data Policy, supporting the dissemination of data from federal government sources through open source, open license, machine-readable formats that adhere to common core and metadata standards.",Government
"DemocratieSpel is a platform for civic engagement in the Netherlands. DemocratieSpel allows users to suggest and vote on democracy issues in the Netherlands. The DemocratieSpel API allows developers to access and integrate the functionality of DecomcratieSpel with other applications. Some example API methods include returning issues, voting on issues, and listing users.",Government
"The service helps candidates and issue campaigns to develop online voter guides, with read-only access to the content via the API. Once developed, the guide information can be integrated with other applications, such as an HTML widget to display a candidate profile separately from the voter guide. Methods return return basic descriptive information about the voter guide itself, such as its name and candidates or issues profiled, or about a specific race or referendum. Search methods return matches within the voter guide for a specific query.",Government
"The Government of Singapore offers an online data catalogue at data.gov.sg for data from dozens of government agencies. A number of APIs are available including APIs for maps (wireless hotspots, family services, performing arts centers, monuments, waste disposal sites, parks, hotels, tourist attractions, etc.); traffic (incidents, images, road conditions, parking availability, etc.); tourism (events, places, hotels, etc.); environment (weather conditions, vehicle and appliance pollution datasets, etc.); and library data feeds (eBook catalogues, library programs and locations, new item search, catalogue search, etc.). APIs are RESTful, JavaScript, and ESRI.",Government
"The UK Government Gateway HMRC Individual Benefits API retrieves the data of an individual's benefits. With the API, developers can integrate company cars and fuel, interest-free and low interest loans, private medical and dental insurance into applications. HMRC is responsible for the administration and collection of taxes in the UK.",Government
"The Substance Abuse and Mental Health Services Administration (SAMHSA) is a branch of the U.S. Department of Health and Human Services aimed at making substance abuse and mental health information and services more accessible, and more effectively translating research in these areas into the public health care system. SAMHSA provides datasets to the public via their Information Tools and use of online social media. SAMHSA uses the Content Repository APIs to give developers access to some of their data.",Government
"Go.USA.gov is a service allowing government employees to create short .gov URLs from official government domains. The Go.USA.gov API allows developers to automate the process, including URL generation, destination preview, and data collection.",Government
"The New York State Office of the CIO announced a technology initiative themed Empire 2.0 which targets social networking, participation and collaboration as part of an overall theme of transparency and open government. The Empire 2.0 site is a platform for users to submit, discuss and refine ideas regarding policy, specific technology or project suggestions, state-wide or agency-specific feedback. The Empire 2.0 Tech Talk API provides methods for obtaining data from the site for use in mashups and other consumable formats. The API uses JavaScript protocol and responses are formatted in JSON.",Government
"The service retrieves information about representatives in the U.S. Congress and state legislatures for a location specified by latitude and longitude. Data returned include contact information, so an application can automatically route users directly to their legislative representatives to support calls for action as part of advocacy campaigns. Another use would be to target advocacy messages to specific legislative districts served by members casting key votes on an issue. API methods accept latitude and longitude and return legislative district for both the U.S. House of Representatives and state legislative houses, as applicable. The service returns error messages for submissions without latitude/longitude data or for locations outside the United States.",Government
"POODL (POpong Open Data Library) is an API that allows users to retrieve legislative data from South Korea, including information on the National Assembly's members, candidates, and bills. Automated tools gather new and updated data from the National Assembly's website every day. This data is distributed through the API for use in research and application development.",Government
"This REST API can be used to export NASA's TechPort data into an XML format to be further processed and analyzed as technology project data to be available as machine-readable. NASA open data supports NASA's scientists and engineers with information technology such as infusion, procurement, and future IT workforce development.",Government
